ngram,count,frequency,percentage
TH,62,0.02343159486016629,2.3431594860166287
AN,52,0.019652305366591082,1.9652305366591083
ES,51,0.01927437641723356,1.9274376417233559
HE,50,0.01889644746787604,1.889644746787604
EN,46,0.017384731670445956,1.7384731670445956
ER,44,0.016628873771730914,1.6628873771730914
TI,42,0.015873015873015872,1.5873015873015872
RE,38,0.01436130007558579,1.436130007558579
ST,37,0.013983371126228269,1.3983371126228268
ME,32,0.012093726379440665,1.2093726379440666
ON,32,0.012093726379440665,1.2093726379440666
AT,31,0.011715797430083144,1.1715797430083144
NT,31,0.011715797430083144,1.1715797430083144
IN,30,0.011337868480725623,1.1337868480725624
IS,30,0.011337868480725623,1.1337868480725624
ND,30,0.011337868480725623,1.1337868480725624
LE,28,0.010582010582010581,1.0582010582010581
TE,28,0.010582010582010581,1.0582010582010581
AR,27,0.01020408163265306,1.0204081632653061
SA,27,0.01020408163265306,1.0204081632653061
EA,26,0.009826152683295541,0.9826152683295541
SI,26,0.009826152683295541,0.9826152683295541
NG,25,0.00944822373393802,0.944822373393802
RA,25,0.00944822373393802,0.944822373393802
TA,25,0.00944822373393802,0.944822373393802
AL,24,0.009070294784580499,0.9070294784580499
ET,24,0.009070294784580499,0.9070294784580499
EC,23,0.008692365835222978,0.8692365835222978
NC,23,0.008692365835222978,0.8692365835222978
SE,22,0.008314436885865457,0.8314436885865457
SS,22,0.008314436885865457,0.8314436885865457
CA,21,0.007936507936507936,0.7936507936507936
OR,21,0.007936507936507936,0.7936507936507936
DE,20,0.007558578987150416,0.7558578987150416
RO,19,0.007180650037792895,0.7180650037792895
AC,18,0.006802721088435374,0.6802721088435374
AS,18,0.006802721088435374,0.6802721088435374
CO,18,0.006802721088435374,0.6802721088435374
KE,18,0.006802721088435374,0.6802721088435374
GE,17,0.006424792139077854,0.6424792139077854
OM,17,0.006424792139077854,0.6424792139077854
RI,17,0.006424792139077854,0.6424792139077854
CI,16,0.006046863189720333,0.6046863189720333
