letter,count,frequency,percentage
A,0,0.00000000,0.000000
B,0,0.00000000,0.000000
C,0,0.00000000,0.000000
D,2,0.16666667,16.666667
E,0,0.00000000,0.000000
F,0,0.00000000,0.000000
G,0,0.00000000,0.000000
H,1,0.08333333,8.333333
I,0,0.00000000,0.000000
J,0,0.00000000,0.000000
K,1,0.08333333,8.333333
L,1,0.08333333,8.333333
M,0,0.00000000,0.000000
N,0,0.00000000,0.000000
O,2,0.16666667,16.666667
P,1,0.08333333,8.333333
Q,0,0.00000000,0.000000
R,1,0.08333333,8.333333
S,1,0.08333333,8.333333
T,0,0.00000000,0.000000
U,1,0.08333333,8.333333
V,1,0.08333333,8.333333
W,0,0.00000000,0.000000
X,0,0.00000000,0.000000
Y,0,0.00000000,0.000000
Z,0,0.00000000,0.000000
