letter,count,frequency,percentage
A,3,0.1,10.0
B,1,0.03333333333333333,3.3333333333333335
C,1,0.03333333333333333,3.3333333333333335
D,1,0.03333333333333333,3.3333333333333335
E,6,0.2,20.0
F,0,0.0,0.0
G,0,0.0,0.0
H,3,0.1,10.0
I,0,0.0,0.0
J,0,0.0,0.0
K,1,0.03333333333333333,3.3333333333333335
L,3,0.1,10.0
M,0,0.0,0.0
N,0,0.0,0.0
O,3,0.1,10.0
P,0,0.0,0.0
Q,0,0.0,0.0
R,2,0.06666666666666667,6.666666666666667
S,1,0.03333333333333333,3.3333333333333335
T,2,0.06666666666666667,6.666666666666667
U,1,0.03333333333333333,3.3333333333333335
V,0,0.0,0.0
W,1,0.03333333333333333,3.3333333333333335
X,0,0.0,0.0
Y,1,0.03333333333333333,3.3333333333333335
Z,0,0.0,0.0
